episode,score
4.360000000000000000e+02,4.390836602636048269e+01
4.370000000000000000e+02,4.396023994103431676e+01
4.380000000000000000e+02,4.386518391550679041e+01
4.390000000000000000e+02,4.380046387640940253e+01
4.400000000000000000e+02,4.374663720302541492e+01
4.410000000000000000e+02,4.418703702692402402e+01
4.420000000000000000e+02,4.391404029592274583e+01
4.430000000000000000e+02,4.389761109310077103e+01
4.440000000000000000e+02,4.398237376642755692e+01
4.450000000000000000e+02,4.393866364807464464e+01
4.460000000000000000e+02,4.393013152421412570e+01
4.470000000000000000e+02,4.400774818763276386e+01
4.480000000000000000e+02,4.386582862294864782e+01
4.490000000000000000e+02,4.399390915334112862e+01
4.500000000000000000e+02,4.405081429984678465e+01
4.510000000000000000e+02,4.412329556676769471e+01
4.520000000000000000e+02,4.408851090316223065e+01
4.530000000000000000e+02,4.411675988436923035e+01
4.540000000000000000e+02,4.419838341268468440e+01
4.550000000000000000e+02,4.391026844569668697e+01
4.560000000000000000e+02,4.389973650846259545e+01
4.570000000000000000e+02,4.394050644588467947e+01
4.580000000000000000e+02,4.424879420368590388e+01
4.590000000000000000e+02,4.432594368414459041e+01
4.600000000000000000e+02,4.413019949934437847e+01
4.610000000000000000e+02,4.411968359179226695e+01
4.620000000000000000e+02,4.413690104824060256e+01
4.630000000000000000e+02,4.416010660371691188e+01
4.640000000000000000e+02,4.419980409794817433e+01
4.650000000000000000e+02,4.410782060566764784e+01
4.660000000000000000e+02,4.409872612129502301e+01
4.670000000000000000e+02,4.429515391155995019e+01
4.680000000000000000e+02,4.439733106825395481e+01
4.690000000000000000e+02,4.448172466711095296e+01
4.700000000000000000e+02,4.449011250590670130e+01
4.710000000000000000e+02,4.436181347506078509e+01
4.720000000000000000e+02,4.433186945108832333e+01
4.730000000000000000e+02,4.421555056446982235e+01
4.740000000000000000e+02,4.434682991271676400e+01
4.750000000000000000e+02,4.429020871764610945e+01
4.760000000000000000e+02,4.444922257514772213e+01
4.770000000000000000e+02,4.423550502394164141e+01
4.780000000000000000e+02,4.430895127950896750e+01
4.790000000000000000e+02,4.435340190097178237e+01
4.800000000000000000e+02,4.455630982625375935e+01
4.810000000000000000e+02,4.458670179539691958e+01
4.820000000000000000e+02,4.440233962384355948e+01
4.830000000000000000e+02,4.456221575362533116e+01
4.840000000000000000e+02,4.454801082143901425e+01
4.850000000000000000e+02,4.462670159727161234e+01
4.860000000000000000e+02,4.471416973347832169e+01
4.870000000000000000e+02,4.461535693782733603e+01
4.880000000000000000e+02,4.438806624787279276e+01
4.890000000000000000e+02,4.450731937958875051e+01
4.900000000000000000e+02,4.469009610514260089e+01
4.910000000000000000e+02,4.457386429121740434e+01
4.920000000000000000e+02,4.460809095193172880e+01
4.930000000000000000e+02,4.466205807127969507e+01
4.940000000000000000e+02,4.471158262651708526e+01
4.950000000000000000e+02,4.456154073120268322e+01
4.960000000000000000e+02,4.488390469555715612e+01
4.970000000000000000e+02,4.475601122673103305e+01
4.980000000000000000e+02,4.477702224083681415e+01
4.990000000000000000e+02,4.486728202639197605e+01
5.000000000000000000e+02,4.478619039004536972e+01
5.010000000000000000e+02,4.484939823709754592e+01
5.020000000000000000e+02,4.494520122713747412e+01
5.030000000000000000e+02,4.493286915967212281e+01
5.040000000000000000e+02,4.493811660786834494e+01
5.050000000000000000e+02,4.494262171825089069e+01
5.060000000000000000e+02,4.474811584270420184e+01
5.070000000000000000e+02,4.476029417972563351e+01
5.080000000000000000e+02,4.522839824569747691e+01
5.090000000000000000e+02,4.501024933726476007e+01
5.100000000000000000e+02,4.498956234972568780e+01
5.110000000000000000e+02,4.494819005922349220e+01
5.120000000000000000e+02,4.507692235479978393e+01
5.130000000000000000e+02,4.512603467825697123e+01
5.140000000000000000e+02,4.513789538585169225e+01
5.150000000000000000e+02,4.505049846742512187e+01
5.160000000000000000e+02,4.542174394948061433e+01
5.170000000000000000e+02,4.505464875445345285e+01
5.180000000000000000e+02,4.505097134984602292e+01
5.190000000000000000e+02,4.529923044249985509e+01
5.200000000000000000e+02,4.497678215924663192e+01
5.210000000000000000e+02,4.515755740326608247e+01
5.220000000000000000e+02,4.518974689692748825e+01
5.230000000000000000e+02,4.549455663453586141e+01
5.240000000000000000e+02,4.544680003359433584e+01
5.250000000000000000e+02,4.541156657915985306e+01
5.260000000000000000e+02,4.565807914619703922e+01
5.270000000000000000e+02,4.546890166166203073e+01
5.280000000000000000e+02,4.540670223643625292e+01
5.290000000000000000e+02,4.548653858203809364e+01
5.300000000000000000e+02,4.546498652552491393e+01
5.310000000000000000e+02,4.569784547652049866e+01
5.320000000000000000e+02,4.560699055521137524e+01
5.330000000000000000e+02,4.544503899262997493e+01
5.340000000000000000e+02,4.555279660268570296e+01
5.350000000000000000e+02,4.557397151000038349e+01
5.360000000000000000e+02,4.566824044904694802e+01
5.370000000000000000e+02,4.580292427444824455e+01
5.380000000000000000e+02,4.584620233561378910e+01
5.390000000000000000e+02,4.574910065608627718e+01
5.400000000000000000e+02,4.564633351798257621e+01
5.410000000000000000e+02,4.576494225320208642e+01
5.420000000000000000e+02,4.606085401663032286e+01
5.430000000000000000e+02,4.575519915288391815e+01
5.440000000000000000e+02,4.576211684878141028e+01
5.450000000000000000e+02,4.587297445817898023e+01
5.460000000000000000e+02,4.586606338495093382e+01
