episode,score
3.170000000000000000e+02,3.763722715133860675e+01
3.180000000000000000e+02,3.748426265534926216e+01
3.190000000000000000e+02,3.765440277786812828e+01
3.200000000000000000e+02,3.768396263546055991e+01
3.210000000000000000e+02,3.763705313533622387e+01
3.220000000000000000e+02,3.768500727453022847e+01
3.230000000000000000e+02,3.771119813483761618e+01
3.240000000000000000e+02,3.784652469677494935e+01
3.250000000000000000e+02,3.778550710033461257e+01
3.260000000000000000e+02,3.774410396272843116e+01
3.270000000000000000e+02,3.785476335505704526e+01
3.280000000000000000e+02,3.790484940724581264e+01
3.290000000000000000e+02,3.807848248857846585e+01
3.300000000000000000e+02,3.778581079437207535e+01
3.310000000000000000e+02,3.800441255928127049e+01
3.320000000000000000e+02,3.788260965309886785e+01
3.330000000000000000e+02,3.798781975485286466e+01
3.340000000000000000e+02,3.802946607193108974e+01
3.350000000000000000e+02,3.799317281427212833e+01
3.360000000000000000e+02,3.791363723530748331e+01
3.370000000000000000e+02,3.813739244277229545e+01
3.380000000000000000e+02,3.800938716687150531e+01
3.390000000000000000e+02,3.813809845795984188e+01
3.400000000000000000e+02,3.801210673134322349e+01
3.410000000000000000e+02,3.806148356145484257e+01
3.420000000000000000e+02,3.817662548647196274e+01
3.430000000000000000e+02,3.821385330336973141e+01
3.440000000000000000e+02,3.832155869417407956e+01
3.450000000000000000e+02,3.830507625309309105e+01
3.460000000000000000e+02,3.828655885556685234e+01
3.470000000000000000e+02,3.825750416730715386e+01
3.480000000000000000e+02,3.840410029786252721e+01
3.490000000000000000e+02,3.841132138930922935e+01
3.500000000000000000e+02,3.851895932044728710e+01
3.510000000000000000e+02,3.834576238630765488e+01
3.520000000000000000e+02,3.846265021072915147e+01
3.530000000000000000e+02,3.852005317998585809e+01
3.540000000000000000e+02,3.859069060600892698e+01
3.550000000000000000e+02,3.855914404448969890e+01
3.560000000000000000e+02,3.858864218592468376e+01
3.570000000000000000e+02,3.866423787385475919e+01
3.580000000000000000e+02,3.851840911413630408e+01
3.590000000000000000e+02,3.877896427646110311e+01
3.600000000000000000e+02,3.864562721814307622e+01
3.610000000000000000e+02,3.870345794907762382e+01
3.620000000000000000e+02,3.890872927467680853e+01
3.630000000000000000e+02,3.881763005602407901e+01
3.640000000000000000e+02,3.889003773481712756e+01
3.650000000000000000e+02,3.872002645088107897e+01
3.660000000000000000e+02,3.888445070130568126e+01
3.670000000000000000e+02,3.891454521001083577e+01
3.680000000000000000e+02,3.876597202465251968e+01
3.690000000000000000e+02,3.881956122854121105e+01
3.700000000000000000e+02,3.867931544357641371e+01
3.710000000000000000e+02,3.882152402992453233e+01
3.720000000000000000e+02,3.881724673202447207e+01
3.730000000000000000e+02,3.897483822574911017e+01
3.740000000000000000e+02,3.890915846358768704e+01
3.750000000000000000e+02,3.891251429535149242e+01
3.760000000000000000e+02,3.903531223238434933e+01
3.770000000000000000e+02,3.878184824144058496e+01
3.780000000000000000e+02,3.916712988273521034e+01
3.790000000000000000e+02,3.918853235882870933e+01
3.800000000000000000e+02,3.897062009087594703e+01
3.810000000000000000e+02,3.905701895479185737e+01
3.820000000000000000e+02,3.904092419532227609e+01
3.830000000000000000e+02,3.916832424712655580e+01
3.840000000000000000e+02,3.917330096166664788e+01
3.850000000000000000e+02,3.922455887956151344e+01
3.860000000000000000e+02,3.915790832688504963e+01
3.870000000000000000e+02,3.917146334633895322e+01
3.880000000000000000e+02,3.928601204017216730e+01
3.890000000000000000e+02,3.919604500332602726e+01
3.900000000000000000e+02,3.927843816623595075e+01
3.910000000000000000e+02,3.937625998936945848e+01
3.920000000000000000e+02,3.933527780997206946e+01
3.930000000000000000e+02,3.937021064396338232e+01
3.940000000000000000e+02,3.923752969147340508e+01
3.950000000000000000e+02,3.935781559198135682e+01
3.960000000000000000e+02,3.938767846141961826e+01
3.970000000000000000e+02,3.947568643069560324e+01
3.980000000000000000e+02,3.959118025830263576e+01
3.990000000000000000e+02,3.939498644093291801e+01
4.000000000000000000e+02,3.936262566577833155e+01
4.010000000000000000e+02,3.964640685079174887e+01
4.020000000000000000e+02,3.938582847748691762e+01
4.030000000000000000e+02,3.955803255064792268e+01
4.040000000000000000e+02,3.959749995693217528e+01
4.050000000000000000e+02,3.978406652205911342e+01
4.060000000000000000e+02,3.947066027426417634e+01
4.070000000000000000e+02,3.964058853871873112e+01
4.080000000000000000e+02,3.971116865810042640e+01
4.090000000000000000e+02,3.977565788286884185e+01
4.100000000000000000e+02,3.970862047191570809e+01
4.110000000000000000e+02,3.973406836739075487e+01
4.120000000000000000e+02,3.977881806609912729e+01
4.130000000000000000e+02,3.973619680338156002e+01
4.140000000000000000e+02,3.970737831348062485e+01
4.150000000000000000e+02,3.998564156920649282e+01
4.160000000000000000e+02,3.982990520886964703e+01
4.170000000000000000e+02,3.955493817532452283e+01
4.180000000000000000e+02,3.968283237729408341e+01
4.190000000000000000e+02,3.995745583518860400e+01
4.200000000000000000e+02,3.987544670368430388e+01
4.210000000000000000e+02,4.003317210007959659e+01
4.220000000000000000e+02,3.998726647616856411e+01
4.230000000000000000e+02,4.001732176471249147e+01
4.240000000000000000e+02,4.016867883753076285e+01
4.250000000000000000e+02,3.990111481789352865e+01
4.260000000000000000e+02,3.999714173805523387e+01
4.270000000000000000e+02,4.003234364940016121e+01
4.280000000000000000e+02,4.024831862772606428e+01
4.290000000000000000e+02,4.002295895665830727e+01
4.300000000000000000e+02,4.005556760891997925e+01
4.310000000000000000e+02,4.018679886690129166e+01
4.320000000000000000e+02,4.018560601129227194e+01
4.330000000000000000e+02,4.007508102986637510e+01
4.340000000000000000e+02,4.029250874259710002e+01
4.350000000000000000e+02,4.027023836215830244e+01
4.360000000000000000e+02,4.029821151793616707e+01
4.370000000000000000e+02,4.029115540883684332e+01
4.380000000000000000e+02,4.030817922153450183e+01
4.390000000000000000e+02,4.031106566892756149e+01
4.400000000000000000e+02,4.013887383876011938e+01
4.410000000000000000e+02,4.052098504511278776e+01
4.420000000000000000e+02,4.036435899145321571e+01
4.430000000000000000e+02,4.030560685854677416e+01
4.440000000000000000e+02,4.040531781660982347e+01
4.450000000000000000e+02,4.036542731289227248e+01
4.460000000000000000e+02,4.031776095774898039e+01
4.470000000000000000e+02,4.039914799536780521e+01
4.480000000000000000e+02,4.033513320822418535e+01
4.490000000000000000e+02,4.040584379031582074e+01
4.500000000000000000e+02,4.036854150097952498e+01
4.510000000000000000e+02,4.045722317053433414e+01
4.520000000000000000e+02,4.042369163178001656e+01
4.530000000000000000e+02,4.057416898732513744e+01
4.540000000000000000e+02,4.056059544318403454e+01
4.550000000000000000e+02,4.028033193813008950e+01
4.560000000000000000e+02,4.040785433401970295e+01
4.570000000000000000e+02,4.039105193579514719e+01
4.580000000000000000e+02,4.059744046285453578e+01
4.590000000000000000e+02,4.065481534354981363e+01
4.600000000000000000e+02,4.060824776267296699e+01
4.610000000000000000e+02,4.057016995644274004e+01
4.620000000000000000e+02,4.055956500193093461e+01
4.630000000000000000e+02,4.054747977718518825e+01
4.640000000000000000e+02,4.060812679214221532e+01
4.650000000000000000e+02,4.052772844395291685e+01
4.660000000000000000e+02,4.054956709306295437e+01
4.670000000000000000e+02,4.068417016652935558e+01
4.680000000000000000e+02,4.070390295196822450e+01
4.690000000000000000e+02,4.083643546636065480e+01
4.700000000000000000e+02,4.078164140872403465e+01
4.710000000000000000e+02,4.074496571392353417e+01
4.720000000000000000e+02,4.069611864783421140e+01
4.730000000000000000e+02,4.051096101770555435e+01
4.740000000000000000e+02,4.065213185701386323e+01
4.750000000000000000e+02,4.063921445420822920e+01
4.760000000000000000e+02,4.082531350703218465e+01
4.770000000000000000e+02,4.066921651220063438e+01
4.780000000000000000e+02,4.077900379880112069e+01
4.790000000000000000e+02,4.071579390663578835e+01
4.800000000000000000e+02,4.085682115020986060e+01
4.810000000000000000e+02,4.091605926016357841e+01
4.820000000000000000e+02,4.076797463948142308e+01
4.830000000000000000e+02,4.088858955798549033e+01
4.840000000000000000e+02,4.092946389965077714e+01
4.850000000000000000e+02,4.097414856413650597e+01
4.860000000000000000e+02,4.101376618530299112e+01
4.870000000000000000e+02,4.096259911986549440e+01
4.880000000000000000e+02,4.095046286471718844e+01
4.890000000000000000e+02,4.085112679320076268e+01
